id;nome_escola_id;nu_ano_censo;id_aluno;id_matricula;nu_mes;nu_ano;nu_idade_referencia;nu_idade;nu_duracao_turma;nu_dur_ativ_comp_mesma_rede;nu_dur_ativ_comp_outras_redes;nu_dur_aee_mesma_rede;nu_dur_aee_outras_redes;nu_dias_atividade;tp_sexo;tp_cor_raca;tp_nacionalidade;co_pais_origem;co_uf_nasc;co_municipio_nasc;co_uf_end;co_municipio_end;tp_zona_residencial;tp_local_resid_diferenciada;tp_outro_local_aula;in_aee_libras;in_aee_lingua_portuguesa;in_aee_informatica_acessivel;in_aee_braille;in_aee_caa;in_aee_soroban;in_aee_vida_autonoma;in_aee_opticos_nao_opticos;in_aee_enriq_curricular;in_aee_desen_cognitivo;in_aee_mobilidade;in_transporte_publico;tp_responsavel_transporte;in_transp_vans_kombi;in_transp_micro_onibus;in_transp_onibus;in_transp_bicicleta;in_transp_tr_animal;in_transp_outro_veiculo;in_transp_embar_ate5;in_transp_embar_5a15;in_transp_embar_15a35;in_transp_embar_35;in_necessidade_especial;in_baixa_visao;in_cegueira;in_def_auditiva;in_def_fisica;in_def_intelectual;in_surdez;in_surdocegueira;in_def_multipla;in_autismo;in_superdotacao;in_recurso_ledor;in_recurso_transcricao;in_recurso_interprete;in_recurso_libras;in_recurso_video_libras;in_recurso_labial;in_recurso_braille;in_recurso_cd_audio;in_recurso_prova_portugues;in_recurso_ampliada_18;in_recurso_ampliada_24;in_recurso_nenhum;tp_mediacao_didatico_pedago;in_especial_exclusiva;in_regular;in_eja;in_profissionalizante;tp_etapa_ensino;id_turma;co_curso_educ_profissional;tp_unificada;tp_tipo_atendimento_turma;tp_tipo_local_turma;tp_dependencia;tp_categoria_escola_privada;in_conveniada_pp;tp_convenio_poder_publico;in_mant_escola_privada_emp;in_mant_escola_priv_ong_oscip;in_mant_escola_privada_oscip;in_mant_escola_privada_ong;in_mant_escola_privada_sind;in_mant_escola_privada_sist_s;in_mant_escola_privada_s_fins;tp_regulamentacao;in_educacao_indigena
267095;425;2019;CCADC2BB2581A52A5400F674C6B555A0;357956543;4;2004;15;15;270;0;0;0;0;5;1;0;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15962797;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
267103;425;2019;C00355897C78CD95FE65D61A31BBEBC3;357956304;9;1997;21;22;170;0;0;0;0;5;1;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;71;15964858;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
267840;425;2019;17680B91350EC9467E9F61C2FD5C921C;357956459;1;2004;15;15;270;0;0;0;0;5;2;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;19;15964855;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
268140;425;2019;0F99047E14B47B2B261AECB7A1F1184C;357957336;8;2002;16;17;270;0;0;0;0;5;2;0;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;41;15962798;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
268268;425;2019;1EE0B83CA9AC487FC485C9CA20031971;357957429;12;2002;16;17;270;0;0;0;0;5;1;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962795;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
268504;425;2019;C453A804359A8BC94DE51D8326A6E9DA;357956761;11;2005;13;14;270;0;0;0;0;5;1;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15964853;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
268718;425;2019;979573089B467EB3A42FFD90B0D79939;357956609;8;2005;13;14;270;0;0;0;0;5;2;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15964856;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
268803;425;2019;243276A49B23C70A67D39960B68465D7;357956734;8;2004;14;15;270;0;0;0;0;5;1;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962795;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
269451;425;2019;F5727BF2EE958AEDAEFCEA62642322AA;357956564;8;2004;14;15;270;0;0;0;0;5;1;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15962797;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
269524;425;2019;5D44ADE0E3E5B6EEF6B03112C2293D7A;357957296;5;2003;16;16;270;0;0;0;0;5;1;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;41;15962798;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
