ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2017,BA,2927408,Salvador,29184916,EE - COLEGIO ESTADUAL DESEMBARGADOR PEDRO RIBEIRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29184932,EE - COLEGIO ESTADUAL PROFESSOR EDSON CARNEIRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29184983,EE - COLEGIO ESTADUAL PROFESSORA LEILA RUBENS FONSECA,Estadual,NA,EM
2017,BA,2927408,Salvador,29185173,EE - COLEGIO ESTADUAL RAFAEL OLIVEIRA,Estadual,2.5,EM
2017,BA,2927408,Salvador,29185394,EE - COLEGIO ESTADUAL MARIO AUGUSTO TEIXEIRA DE FREITAS,Estadual,NA,EM
2017,BA,2927408,Salvador,29186935,EE - COLEGIO ESTADUAL PADRE JOSE VASCONCELOS,Estadual,NA,EM
2017,BA,2927408,Salvador,29187001,EE - COLEGIO ESTADUAL POLIVALENTE DE AMARALINA,Estadual,NA,EM
2017,BA,2927408,Salvador,29187010,EE - COLEGIO ESTADUAL POLIVALENTE SAN DIEGO,Estadual,NA,EM
2017,BA,2927408,Salvador,29187303,EE - COLEGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29187320,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO NEGOCIOS E TURISMO LUIZ NAVARRO DE BRITO,Estadual,NA,EM
2017,BA,2927408,Salvador,29187419,EE - COLEGIO ESTADUAL PROFESSORA ELISABETH CHAVES VELOSO,Estadual,NA,EM
2017,BA,2927408,Salvador,29187583,EE - COLEGIO ESTADUAL RENAN BALEEIRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29188270,EE - COLEGIO ESTADUAL SANTA RITA DE CASSIA,Estadual,NA,EM
2017,BA,2927408,Salvador,29188601,EE - COLEGIO ESTADUAL VITOR SOARES,Estadual,NA,EM
2017,BA,2927408,Salvador,29188792,EE - COLEGIO ESTADUAL ARTUR DE SALES,Estadual,NA,EM
2017,BA,2927408,Salvador,29188903,EE - COLEGIO ESTADUAL ABILIO CESAR BORGES,Estadual,NA,EM
2017,BA,2927408,Salvador,29189012,EE - COLEGIO ESTADUAL DOUTOR AILTON PINTO DE ANDRADE,Estadual,NA,EM
2017,BA,2927408,Salvador,29189047,EE - COLEGIO ESTADUAL ALBERTO VALENCA - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29189241,EE - COLEGIO ESTADUAL ANFRISIA SANTIAGO - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29189454,EE - COLEGIO ESTADUAL ASSIS CHATEAUBRIAND,Estadual,NA,EM
2017,BA,2927408,Salvador,29190002,EE - COLEGIO ESTADUAL CELINA PINHO - CLASSE VIII,Estadual,NA,EM
2017,BA,2927408,Salvador,29190363,EE - COLEGIO ESTADUAL CONSELHEIRO VICENTE PACHECO DE OLIVEIRA-TEMPO INTEGRAL,Estadual,2.6,EM
2017,BA,2927408,Salvador,29190738,EE - COLEGIO ESTADUAL DANTAS JUNIOR,Estadual,NA,EM
2017,BA,2927408,Salvador,29190754,EE - COLEGIO ESTADUAL DOUTOR JOAO PEDRO DOS SANTOS,Estadual,NA,EM
2017,BA,2927408,Salvador,29190770,EE - COLEGIO ESTADUAL ALBERTO SANTOS DUMONT,Estadual,NA,EM
2017,BA,2927408,Salvador,29190835,EE - COLEGIO ESTADUAL BRIGADEIRO EDUARDO GOMES,Estadual,3.6,EM
2017,BA,2927408,Salvador,29190851,EE - COLEGIO ESTADUAL CESARE CASALI,Estadual,NA,EM
2017,BA,2927408,Salvador,29190860,EE - COLEGIO ESTADUAL CIDADE DE CURITIBA,Estadual,NA,EM
2017,BA,2927408,Salvador,29190878,EE - COLEGIO ESTADUAL COSME DE FARIAS,Estadual,NA,EM
2017,BA,2927408,Salvador,29190886,EMPREENDIMENTOS EDUCACIONAIS MONTESSORIANO,Privada,4.9,EM
2017,BA,2927408,Salvador,29190894,EE - COLEGIO ESTADUAL DEPUTADO ROGERIO REGO,Estadual,NA,EM
