UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29182093;EE - COLEGIO ESTADUAL AZEVEDO FERNANDES;Estadual;76.5;80;80;71.4;NA;0.76912;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182107;EE - COLEGIO ESTADUAL CARNEIRO RIBEIRO FILHO;Estadual;50.4;36.9;67.2;58.3;NA;0.507323;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182115;EE - COLEGIO DA POLICIA MILITAR- CPM DONA LEONOR CALMON;Estadual;66.4;62.5;63.3;75.7;NA;0.666551;65.4;60;61.5;72.4;NA;0.641862;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182123;EE - COLEGIO ESTADUAL DA BAHIA CENTRAL;Estadual;67.6;62.8;72.5;76.7;NA;0.701681;76.8;63.9;84.2;84.7;NA;0.762732;ND;ND;NA;262.56;270.45;4.425807;NA;3.4
BA;2927408;Salvador;29182131;EE - COLEGIO ESTADUAL DEPUTADO MANOEL NOVAES;Estadual;63.7;58.2;64;68;91.7;0.684719;54.1;45.4;61.7;55.7;100;0.604346;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182158;EE - COLEGIO ESTADUAL EVARISTO DA VEIGA - TEMPO INTEGRAL;Estadual;73;66.3;80.6;74.5;NA;0.733268;81.9;75;83.3;89.6;NA;0.821944;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182166;EE - COLEGIO ESTADUAL GOES CALMON;Estadual;75.3;83.2;79.8;89.9;28.3;0.563303;80.3;80;89.8;82.3;61.1;0.766972;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182174;EE - COLEGIO ESTADUAL HELENA MATHEUS;Estadual;58.1;50.9;61.6;69.8;NA;0.597529;85.7;86.1;84;86.7;NA;0.855842;ND;ND;NA;248.95;261.83;4.105614;NA;3.5
BA;2927408;Salvador;29182182;EE - COLEGIO ESTADUAL YPIRANGA - TEMPO INTEGRAL;Estadual;92.9;88.2;91.7;100;NA;0.930435;78.7;60.9;92.3;100;NA;0.80527;ND;ND;NA;301.41;304.37;5.479238;NA;4.4
BA;2927408;Salvador;29182190;EE - COLEGIO DA POLICIA MILITAR - CPM JOAO FLORENCIO GOMES;Estadual;87.1;81.6;94.7;85;NA;0.867572;86.2;67.9;97.1;94.2;NA;0.841706;310.66;299.1;5.530261;308.89;304.69;5.589084;4.8;4.7
BA;2927408;Salvador;29182204;EE - COLEGIO ESTADUAL MARQUES DE MARICA - TEMPO INTEGRAL;Estadual;76.8;68.4;73.1;87.8;NA;0.755871;89.1;78.4;93.2;97.6;NA;0.8894;ND;ND;NA;263.3;268.13;4.40147;NA;3.9
BA;2927408;Salvador;29182220;EE - COLEGIO ESTADUAL ODORICO TAVARES;Estadual;72.1;59.2;83.8;66.9;NA;0.685358;72.5;76;67.9;72.8;NA;0.720778;267.45;276.27;4.581613;ND;ND;NA;3.1;NA
BA;2927408;Salvador;29182239;EE - COLEGIO ESTADUAL PEDRO CALMON;Estadual;75.2;64;78;84.4;NA;0.74453;82;62.1;97.6;97;NA;0.81837;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182247;EE - COLEGIO ESTADUAL DO STIEP CARLOS MARIGHELLA;Estadual;61.4;52.4;64.4;74;100;0.688167;79.7;70.2;85.1;90.6;NA;0.810079;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182271;EE - COLEGIO ESTADUAL RAPHAEL SERRAVALLE;Estadual;65.4;56.2;65.2;77.2;NA;0.65098;79.6;80.3;82.7;74.3;NA;0.789388;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182395;COLEGIO MILITAR DE SALVADOR;Federal;93.6;85.1;96.4;99.1;NA;0.931239;98.3;96;100;100;NA;0.986301;ND;ND;NA;369.09;352.44;7.14941;NA;7.1
BA;2927408;Salvador;29182409;COLEGIO MODULO;Privada;100;100;100;100;NA;1;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182565;EE - COLEGIO ESTADUAL ROTARY;Estadual;54.9;47.9;59.1;62.1;NA;0.556583;72.3;64.2;80.9;75.8;NA;0.729397;ND;ND;NA;ND;ND;NA;NA;NA
